,question,model_prediction,ground_truth
690,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.6.4 state exactly? Answer with only the text of the rule and no other words.,"3.0.3
Draft versions of the documents will be available on the website for comment approximately 4 weeks after
publication and available at http://www.sae.org/documents  
Must be submitted approximately 4 months before the competition event.
    ","Positive Temperature Coefficient (PTC) devices must not be used to limit current for the
Precharge Circuit or Discharge Circuit"
691,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.6.5 state exactly? Answer with only the text of the rule and no other words.," Team members may work on the vehicle at the team’s expense, but only at the Facility specified by the organizer.
    ",The precharge relay must be a mechanical type relay
692,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.7 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, and industry sponsors must not work on the vehicle for more than 
4 hours in any 12 hour period.
    ","Voltage Indicator
Each Accumulator Container must have a prominent indicator when High Voltage T.9.1.1 is
present at the vehicle side of the AIRs"
693,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.7.1 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the start of the Dynamic Event, the Dynamic Area and the vehicle must be clear of the Dynamic Area boundary.
    ","The Voltage Indicator must always function, including when the Accumulator Container is
disconnected or removed"
694,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.7.2 state exactly? Answer with only the text of the rule and no other words.,"3.2.2.2 Inspection Items - All items on the Inspection Checklist must be submitted.  
a. Tech Inspection Form - All team members and support personnel must sign the Tech 
Inspection Form.  
b. Driver Equipment and Accoutrements - All driver equipment and accoutrements must be 
submitted and presented for Technical Inspection.  
c. Driver Equipment - All driver equipment must be submitted and presented for Technical 
Inspection.  
d. Accoutrements - All Accoutrements must be submitted and presented for Technical Inspection.
    ","The voltage being present at the connectors must directly control the Voltage Indicator using
hard wired electronics with no software control."
695,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.7.3 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, donors, sponsors, and other individuals associated with the competition are not permitted to visit the competition site, inspect the site or the facilities, or receive information or data about the competition before, during or after the competition.
    
    ",The control signal which closes the AIRs must not control the Voltage Indicator
696,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.7.4 state exactly? Answer with only the text of the rule and no other words.,"35 minutes after the start of the Dynamometer Test, the vehicle may move to the Dynamic Test Area
    ","The Voltage Indicator must:
a. Be located where it is clearly visible when connecting/disconnecting the Accumulator
Tractive System connections
b. Be labeled “High Voltage Present”"
697,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.8.1 state exactly? Answer with only the text of the rule and no other words.," Team members and students must not work on any vehicle for more than two hours before a
Dynamic Event.
    ","Two Tractive System Measuring Points (TSMP) must be installed in the vehicle which are:
a. Connected to the positive and negative motor controller/inverter supply lines
b. Next to the Master Switches EV.7.9
c. Protected by a nonconductive housing that can be opened without tools
d. Protected from being touched with bare hands / fingers once the housing is opened"
698,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.8.2 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, donors, sponsors, and other individuals associated with the competition are not permitted to:
a. Work on any competition site that is not authorized for work by personnel from the competition organizer(s) or from contractors hired by the organizers.
b. Access any competition site that is not authorized for access by personnel from the competition organizer(s) or from contractors hired by the organizers.
c. Use any competition site for any purpose other than authorized work by personnel from the competition organizer(s) or from contractors hired by the organizers.
d. Use any competition site for any purpose other than authorized work by personnel from the competition organizer(s) or from contractors hired by the organizers.
e. Use any competition site for any purpose other than authorized work by personnel from the competition organizer(s) or from contractors hired by the organizers.  
EV.8.5  Correction of Power Train – Any power train part(s) used for any reason other than the original equipment must be: a
• Stated","Two TSMPs must be installed in the Charger EV.8.2 which are:
a. Connected to the positive and negative Charger output lines
b. Available during charging of any Accumulator(s)"
699,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.8.3 state exactly? Answer with only the text of the rule and no other words.,"3.4.4.2
Draft - Do not open for inspection until all drafts have been incorporated into the final vehicle.
    ","The TSMPs must be:
a. 4 mm shrouded banana jacks rated to an appropriate voltage level
b. Color: Red
c. Marked “HV+” and “HV-“"
700,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.8.5 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not access the dynamic testing area, Dynamic Test Facility (DTF) or Dynamic Test Site (DTS) before, during
the dynamic test or immediately after the dynamic test.
    ",Any TSMP must not contain additional Overcurrent Protection.
701,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.9.1 state exactly? Answer with only the text of the rule and no other words.," Team members may only work on the vehicle at the competition site, and only if:
a. The vehicle is being driven on a paved road or a track, and
b. The vehicle is not being driven on a track, and the Team member is:
i. On a team approved off - site work area, or
ii. In or near the Dynamic Area (as defined in EV.2.5)
    ","The vehicle must include a Tractive Systems Active Light (TSAL) that must:
a. Illuminate when the GLV System is energized to indicate the status of the Tractive
System
b. Be directly controlled by the voltage present in the Tractive System using hard wired
electronics. Software control is not permitted.
c. Not perform any other functions."
702,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.9.2 state exactly? Answer with only the text of the rule and no other words.," Team members, team sponsors, and other individuals associated with the team must not make any modifications to the vehicle which could facilitate
cheating. This includes, but is not limited to:
• Adjustments to the electronic control units
• Changes to the engine control module
• Adjustments to the suspension
• Adjustments to the brake system
• Adjustments to the steering system
• Adjustments to the bodywork
• Adjustments to the wings
• Adjustments to the fairings
• Adjustments to the aerodynamic devices
• Adjustments to the wing endplates
• Adjustments to the wing tip devices
• Adjustments to the wing wings
• Adjustments to the wing endplates
• Adjustments to the wing tip devices
• Adjustments to the wing wings
• Adjustments to the wing endplates
• Adjustments to the wing tip devices
• Adjustments to the wing wings
• Adjustments to the wing endplates
• Adjustments to the wing tip devices
• Adjustments to the wing wings
• Adjustments to the wing endplates",The TSAL may be composed of multiple lights inside a single housing
703,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.9.3 state exactly? Answer with only the text of the rule and no other words.," Team Members and Faculty Advisors
     (a) must not have been a member of any other FSAE team for one year after the competition
     (b) must not have worked for, or been paid by, any company or organization that is developing, 
manufacturing, or selling vehicles related to the competition, including but not limited to race 
cars, high performance street cars, kit cars and off road vehicles    
     (b) must not have worked for, or been paid by, any company or organization that is designing, 
manufacturing, or maintaining race tracks used for the competition    
     (c) must not have worked for, or been paid by, any company or organization that is involved in 
promoting or sponsoring the competition
     (d) must not have worked for, or been paid by, the competition organizer    
     (e) must not have worked for, or been paid by, any company or organization that is involved in 
the administration of the competition    
     (f) must not have worked for, or been paid by, any company or organization that is involved in 
the","When the voltage outside the Accumulator Container(s) exceeds T.9.1.1, the TSAL must:
a. Be Color: Red
b. Flash with a frequency between 2 Hz and 5 Hz"
704,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.9.4 state exactly? Answer with only the text of the rule and no other words.," Team members may not work on any vehicle for more than 4 hours per day, or more than 24 hours per competition week.
    ","When the voltage outside the Accumulator Container(s) is below T.9.1.1, the TSAL must:
a. Be Color: Green
b. Stay continuously illuminated"
705,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.9.5 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not have worked on the project for more than 6 months beginning
from the date of the announcement of the winning team for the previous competition.
    ","The TSAL mounting location must:
a. Be near the Main Hoop at the highest point of the vehicle.
b. Be inside the Rollover Protection Envelope F.1.13
c. Be no lower than 150 mm from the highest point of the Main Hoop.
d. Not allow contact with the driver’s helmet in any circumstances.
e. Not be in proximity to other lights."
706,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.9.6 state exactly? Answer with only the text of the rule and no other words.," Team members and students who visit the competition site must:
a. Not work on any vehicle more than 30 minutes before the scheduled event time
b. Not work on any vehicle for more than 2 hours after the scheduled event time
c. Not work on any vehicle for more than 30 minutes after the scheduled event time
    ","The TSAL must be visible:
a. From every horizontal direction, except small angles which are blocked by the Main Hoop
b. From a point 1.6 m vertically from ground level, inside a 3 m horizontal radius from the
TSAL
c. In direct sunlight"
707,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.5.10 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the start of the Dynamic Event, the Dynamic Area and the vehicle must be clear of any vehicle or obstacle.
    ","Connectors
Tractive System connectors outside of a housing must meet one of the two:
• Contain an Interlock EV.7.8 which must Open the Shutdown Circuit EV.7.2.2
• Be sealed at Tech Inspection IN.4.7.1"
708,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.1.1 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not have any direct or indirect association with any
competition organizer, judges, inspectors, officials or scorekeepers at any time during the
competition.
    ","Nonconductive material or covers must prevent inadvertent human contact with any Tractive
System voltage.
Covers must be secure and sufficiently rigid.
Removable Bodywork is not suitable to enclose Tractive System connections."
709,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.1.2 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not have any affiliation with automotive related industries
     This includes but is not limited to:
a. Working for, or having worked for any automotive related company
b. Having any equity or ownership in any automotive related company
c. Having any patent applications or patents related to automotive technology
d. Being a shareholder or owner of any automotive related company
     The only exemptions are:
a. Individuals who have worked for an automotive related company but have not worked on FSAE
projects specifically
b. Individuals who have patents or patent applications related to automotive technology
     The intent of this rule is to prevent the use of knowledge or information related to automotive
technology that was gained through work for an automotive related company.
     Note: This rule does not apply to individuals who work for automotive related companies but do
not work on FSAE projects specifically.  
EV.3.5  Vehicle Limited Identification 
EV.3.5.1  Each vehicle entered on the Formula SAE competitions","Contact with any Tractive System connections with a 100 mm long, 6 mm diameter insulated
test probe must not be possible when the Tractive System enclosures are in place."
710,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.1.3 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not have any affiliation with automotive industry companies
     that design, manufacture, sell or service vehicles in any form.
    ","Tractive System components and Accumulator Containers must be protected from moisture,
rain or puddles.
A rating of IP65 is recommended"
711,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.2.1 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, and other personnel involved with the competition must not receive compensation
for their work on the competition other than:
a. Reimbursement for actual, documented out of pocket expenses
b. Stipends for meals, lodging and transportation to the competition location(s)
c. Stipends for travel to the competition location(s)
    ","Insulation material must:
a. Be appropriate for the expected surrounding temperatures
b. Have a minimum temperature rating of 90°C"
712,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.2.2 state exactly? Answer with only the text of the rule and no other words.," Team members, engineers, students, faculty advisors and other personnel associated with the competition must not:
a. Attend any competition event where their presence might jeopardize the fairness of the competition.
This includes but is not limited to:
• Inspections
• Static tests
• Dynamic tests
• Tech Inspections
• Driver meetings
• Driving practices
• Any other activities at the competition site 
b. Make any statements, comments or complaints about judging, scoring, facility or equipment which could:
• Influence the impartiality of the judges
• Create the appearance of undue influence on the judges
• Create the appearance of unfairness at the competition
    ","Insulating tape or paint may be part of the insulation, but must not be the only insulation."
713,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.3.1 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, and industry sponsors must not work on the vehicle at the competition site.
    ","All wires and terminals and other conductors used in the Tractive System must be sized for the
continuous current they will conduct"
714,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.3.2 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, and other personnel involved in the competition must not make any changes to the vehicle
     unless authorized by the Dynamic Event Official or the Dynamic Event Organizer.
    ","All Tractive System wiring must:
a. Be marked with wire gauge, temperature rating and insulation voltage rating.
A serial number or a norm printed on the wire is sufficient if this serial number or norm is
clearly bound to the wire characteristics for example by a data sheet.
b. Have temperature rating more than or equal to 90°C"
715,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.3.3 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not access the competition area or facility without authorization.
     Individuals with authorized access include:
     • Competition organizers and officials
     • Judges and inspectors
     • FSAE organizers and staff
     • FSAE team members and suppliers with approved work in the competition area
     The following team members do not require authorization:
     • Teams visiting for a meeting or announcement
     • Teams visiting for inspection of the vehicle
     • Individuals visiting for announcements or other purposes
     The following individuals require authorization:
     • Contractors or construction workers
     • Vehicle transport drivers
     • Professional photographers or videographers
     • Professional drone operators
     • Professional media representatives
     • Professional competition officials or judges
     • Professional inspectors or surveyors
     • Professional equipment suppliers
     • Professional equipment installers
     • Professional drivers
     • Professional engineers
     • Professional consultants
     • Professional researchers
     • Professional students
     • Professional student leaders
     • Professional Faculty advisors
     • Professional Student","Tractive System wiring must be:
a. Done to professional standards with sufficient strain relief
b. Protected from loosening due to vibration
c. Protected against damage by rotating and / or moving parts
d. Located out of the way of possible snagging or damage"
716,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.3.4 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the start of the Dynamometer Test, the vehicle must be connected to the dyno using the
specified Shutdown Sequence.
    ","Any Tractive System wiring that runs outside of electrical enclosures:
a. Must meet one of:
• Enclosed in separate orange nonconductive conduit
• Use an orange shielded cable.
b. Must meet one of:
• Run in a fully enclosed container. Bodywork is not an enclosure.
• The conduit or shielded cable is securely anchored at each end to allow it to
withstand a force of 200 N without straining the cable end crimp
c. Any shielded cable must have the shield grounded."
717,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.3.5 state exactly? Answer with only the text of the rule and no other words.," Team Members who are involved in the design and/or testing of the vehicle must:
a. Not be employed by the team or by a company that is working with the team on the project.
b. Not have worked for the team or for a company that is working with the team on the project within 12 months of the start of the project.
c. Not have worked for a company that is a competitor of the team at any time within 12 months of the start of the project.
d. Not have worked for a company that is a supplier of parts or services to the team at any time within 12 months of the start of the project.
e. Not have worked for a company that is a manufacturer of vehicles that are similar to the vehicle entered into the competition by the team.
f. Not have worked for a company that is a manufacturer of chassis or frame related parts used on high performance race vehicles.
g. Not have worked for a company that is a manufacturer of high performance engines used in race competition.
h. Not have worked for a company that is a manufacturer of high performance braking systems used in race competition.",Wiring that is not part of the Tractive System must not use orange wiring or conduit.
718,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.4.1 state exactly? Answer with only the text of the rule and no other words.," Team members may only access the vehicle they are working on by using the designated
work area.
    ","All Tractive System connections must:
a. Be designed to use intentional current paths through conductors designed for electrical
current
b. Not rely on steel bolts to be the primary conductor
c. Not include compressible material such as plastic in the stack-up"
719,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.4.2 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the vehicle is presented for Technical Inspection, the team must submit:
a. Electrical System Itemization Form EV.1.4.2
b. Electrical System Test Plan EV.15
c. Electrical System Tractive System Test Plan EV.16
d. Electrical System Tractive System Test Report EV.17
e. Electrical System Powertrain Test Plan EV.18
f. Electrical System Powertrain Test Report EV.19
g. Electrical System Battery Test Plan EV.20
h. Electrical System Battery Test Report EV.21
i. Electrical System Generator Test Plan EV.22
j. Electrical System Generator Test Report EV.23
k. Electrical System Controls Test Plan EV.24
l. Electrical System Controls Test Report EV.25
m. Electrical System Plant Test Plan EV.26
n. Electrical System Plant Test Report EV.27
ev. Electrical System  . . .  159","If external, uninsulated heat sinks are used, they must be properly grounded to the GLV
System Ground, see EV.6.7"
720,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.4.3 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, donors, industry sponsors, and other
individuals associated with the competition must not receive compensation for work performed
for the competition.
    ","Bolted electrical connections in the high current path of the Tractive System must include a
positive locking feature to prevent unintentional loosening
Lock washers or thread locking compounds (Loctite®) or adhesives are not acceptable.
Bolts with nylon patches are allowed for blind connections into OEM components."
721,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.4.4 state exactly? Answer with only the text of the rule and no other words.," Team Members and Supporters  
A team member or supporter of any team that does not follow the FSAE rules will result in immediate 
suspension of the team for the rest of the competition and any future FSAE competitions.  
Rules violations include, but are not limited to:  
• Using computerized tools or equipment not provided by FSAE  
• Using any tool or equipment that is provided by FSAE but is not authorized for use at the competition  
• Using any tool or equipment that is provided by FSAE and is authorized for use at the competition but 
which is used in a manner not authorized by the rules  
• Accessing any part of the dynamic testing area (including the dynamic testing area itself) other than 
those specifically designated for vehicle tear down and inspection.
AD.1 DOCUMENTATION  
(a) The documentation provided with the vehicle must include:  
• All information relating to the construction, maintenance and tear down of the vehicle  
• All information relating to the dynamic performance of the vehicle  
• All information relating to the","Information about the electrical connections supporting the high current path must be
available at Electrical Technical Inspection"
722,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.5.1 state exactly? Answer with only the text of the rule and no other words.," Team members may only access the vehicle they are working on, and only for the duration of the event, for the following purposes: 
a. Technical Inspection (EV.5.2, EV.5.3, EV.5.4, EV.5.5, EV.5.6) 
b. Driver Inspection (EV.6.2) 
c. Fueling (EV.7) 
d. Maintenance (EV.8)  
e. Accident/Incident Investigation (EV.9)  
f. Equipment Inspection (EV.10)  
g. Promotion and Marketing (EV.11)  
h. Other Inspections (EV.12)  
i. Offsite Reinspection (EV.13)  
j. Vehicle Teardown (EV.14)  
k. Driver Education (EV.15)  
l. Other Activities (EV.16)  
m. Opening an Inspection (EV.17)  
n. Closing an","Separation of Tractive System and GLV System:
a. The entire Tractive System and GLV System must be completely galvanically separated.
b. The border between Tractive and GLV System is the galvanic isolation between both
systems. Therefore, some components, such as the Motor Controller, may be part of
both systems."
723,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.5.2 state exactly? Answer with only the text of the rule and no other words.," Team members, engineers, students and faculty involved in the development and construction of the vehicle must not directly or indirectly work for, be employed by, or hold stock in any FSAE competition organizer, event sponsor or supplier to the competition.
This includes any entity that has, or has had, a contract with the competition organizer to provide goods or services to the competition.    
Examples include:  advertising, media, promotional goods, competition apparel, and office supplies.    
Exception: Employment by a company other than the competition organizer or a contractor to the competition organizer 
is permitted, as long as the employment is unrelated to the FSAE competition.
    ","There must be no connection between the Chassis of the vehicle (or any other conductive
surface that might be inadvertently touched by a person), and any part of any Tractive System
circuits."
724,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.5.3 state exactly? Answer with only the text of the rule and no other words.," Team members, engineers, students, faculty advisors and other personnel involved in the competition must not:
a. Attend any part of the competition, other than the actual driving of the vehicle, if they have not been scheduled to do so.
b. Be present in the paddock area when a driver is scheduled to drive the vehicle.
c. Be present in the dynamic area when a driver is scheduled to drive the vehicle.
d. Be present in the static area when a driver is scheduled to drive the vehicle.
e. Be present in the paddock area when a driver is scheduled to drive a different vehicle.
f. Be present in the dynamic area when a driver is scheduled to drive a different vehicle.
g. Be present in the static area when a driver is scheduled to drive a different vehicle. ","Tractive System and GLV circuits must not run through the same conduit or connector, except
as allowed in EV.7.8.4"
725,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.5.4 state exactly? Answer with only the text of the rule and no other words.,"3 years old or younger
    ","GLV Systems other than the AIRs EV.5.4, parts of the Precharge and Discharge Circuits EV.5.6,
HV DC/DC converters, the AMS EV.7.3, the IMD EV.7.6, parts of the TSAL EV.5.9.1 the Energy
Meter EV.3.1 and cooling fans must not be inside the Accumulator Container."
726,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.5.6 state exactly? Answer with only the text of the rule and no other words.,"30 minutes before the start of the Dynamometer Test, the vehicle must be connected to the dyno using the
specified Dynamic Test Procedure.
    ","Spacing must be clearly defined. Components and cables capable of movement must be
positively restrained to maintain spacing."
727,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.5.8 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not have any direct or indirect association with any professional
motorsport teams or organizations.
    ","Teams must be prepared to show spacing on team built equipment
For inaccessible circuitry, spare boards or appropriate photographs must be available for
inspection."
728,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.5.9 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not visit the Facility for any reason without prior permission.
     The Facility may be visited for the purpose of:
        Inspection of the vehicle before the dynamic event
        Inspection of the dynamic area before an event
        Delivery of documents and other materials
     Any visit for any other reason is a violation of this rule.
     The Facility may be visited for the purpose of:
        Inspection of the vehicle before the dynamic event
        Inspection of the dynamic area before an event
        Delivery of documents and other materials
     Any visit for any other reason is a violation of this rule.
     “Technical Inspection” includes any visit for any reason other than those listed.
     “Dynamic Event” includes any visit for any reason other than those listed.
     “Facility” includes all areas of the event location where vehicles or people might be present.
     “Competition Area” includes all areas outside of the Facility where vehicles or people might be present.
     “Dynamic Area” includes all areas outside of the Facility where vehicles might be present and are used for dynamic","All connections to external devices such as laptops from a Tractive System component must
include galvanic isolation."
729,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.6.1 state exactly? Answer with only the text of the rule and no other words.," Team members, students, faculty advisors, alumni, donors, and other individuals associated with the competition must not receive financial
compensation for their work on the competition. This includes:
a. Wages or stipends
b. Internships
c. Scholarships
d. Awards
e. Travel grants
f. Any other financial assistance
    ","All electrical systems (both Low Voltage and High Voltage) must have appropriate Overcurrent
Protection/Fusing."
730,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.6.2 state exactly? Answer with only the text of the rule and no other words.," Team Members and Supporters  
A person who works for or is sponsored by a competition participant team and/or the competition itself.  
Examples: All employees of the engineering firm that designed the vehicle, all employees of the 
manufacturer of the vehicle’s engine, all people who work for the team’s sponsors, and people who 
volunteer as team members.
    ","Unless otherwise allowed in the Rules, all Overcurrent Protection devices must:
a. Be rated for the highest voltage in the systems they protect.
Overcurrent Protection devices used for DC must be rated for DC and must carry a DC
rating equal to or more than the system voltage
b. Have a continuous current rating less than or equal to the continuous current rating of
any electrical component that it protects
c. Have an interrupt current rating higher than the theoretical short circuit current of the
system that it protects"
731,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.6.3 state exactly? Answer with only the text of the rule and no other words.," Team members and students who visit the competition site must:
a. Wear team shirts and hats with the FSAE logo
b. Wear team pants or shorts with the FSAE logo
c. Wear team shoes or sandals with the FSAE logo
d. Wear team jackets with the FSAE logo
e. Wear team T shirts with the FSAE logo
f. Wear team caps with the FSAE logo
g. Wear team accessories such as wrist bands, key chains, etc with the FSAE logo ","Each parallel element of multiple parallel battery cells, capacitors, strings of battery cells,
strings of capacitors, or conductors must have individual Overcurrent Protection."
732,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.6.4 state exactly? Answer with only the text of the rule and no other words.," Team members and suppliers must not have any direct or indirect association with any commercial
competition organizations for automobiles.
    ","Any conductors (wires, busbars, etc) conducting the entire pack current must meet one of:
a. Be appropriately sized for the total current that the individual Overcurrent Protection
devices could transmit
b. Contain additional Overcurrent Protection to protect the conductors"
733,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.6.5 state exactly? Answer with only the text of the rule and no other words.," Team members and students who work on the vehicle must not be employed by any organization that is 
developing, manufacturing, marketing or selling the vehicle or related vehicle parts during any part of the 
competition period.
    ","Battery packs with Low Voltage or non voltage rated fusible links for cell connections may be
used when all three conditions are met:
• An Overcurrent Protection device rated at less than or equal to one third the sum of the
parallel fusible links and complying with EV.6.6.2.b above is connected in series.
• The AMS can detect an open fusible link and will Open the Shutdown Circuit EV.7.2.2 if a
fault is detected.
• Fusible link current rating is specified in manufacturer’s data or suitable test data is
provided."
734,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.6.6 state exactly? Answer with only the text of the rule and no other words.," Team members may enter the pits only while the vehicle they have worked on is being driven to
the inspection area and the driver is not in the vehicle.
    ","If conductor ampacity is reduced below the ampacity of the upstream Overcurrent Protection,
the reduced conductor longer than 150 mm must have additional Overcurrent Protection.
This additional Overcurrent Protection must be:
a. 150 mm or less from the source end of the reduced conductor
b. On both positive and negative conductors in the Tractive System
c. On the positive conductor in the Grounded Low Voltage System"
735,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.6.7 state exactly? Answer with only the text of the rule and no other words.,"8.4.2
Draft Reports and Presentations
8.4.2.1  Draft Reports
Draft reports, presentations, and other material related to the competition must not:
a. Contain any competition details or the results of any other teams.
b. Be made publicly available.
c. Be distributed to any person or organization.
d. Be stored on any publicly accessible website or other digital platform.
    ","Cells with internal Overcurrent Protection may be used without external Overcurrent
Protection if suitably rated.
Most cell internal Overcurrent Protection devices are Low Voltage or non voltage rated and
conditions of EV.6.6.5 above will apply."
736,We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. What does rule EV.6.7.1 state exactly? Answer with only the text of the rule and no other words.,"3.0.2.4: The organizer may specify additional restrictions for the Staging Area. These could include: 
a. Only authorized people may enter the area.
b. Only authorized vehicles may enter the area.
c. Only during the scheduled hours may vehicles enter the area.
d. Only authorized vehicles may leave the area during the scheduled hours.
e. Only authorized people may leave the area during the scheduled hours.
f. No vehicles or people may enter the area during the scheduled hours.
g. Any other restrictions deemed necessary by the organizer. 
This is a sample of the restrictions that may be included in the area: 
• Closed area only for authorized vehicles 
• Authorized vehicles only may enter the area 
• Only authorized people may enter the area 
• Only during the scheduled hours may vehicles enter the area 
• Only authorized vehicles may leave the area during the scheduled hours 
• Only authorized people may leave the area during the scheduled hours 
• No vehicles or people may enter the area during the scheduled hours 
• Any other restrictions deemed necessary by the organizer. 
","Grounding is required for:
a. Parts of the vehicle which are 100 mm or less from any Tractive System component
b. The Tractive System Firewall T.1.9"
